 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པ 	།།_།།༄༅།_། 	ཆོས་ཀྱི 	དབྱིངས་སུ 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པ  །།_།།༄༅།_།  ཆོས་ཀྱི  དབྱིངས་སུ 
 ཏེ  །_། 						ཏེ 	།_། 	ཁམས 	རྒྱས་བྱེད་པ 	-འི 	ཆོས་བཞིའོ 	bstod tshogs ka_.txt	     ཏེ  །_།  ཁམས  རྒྱས་བྱེད་པ  -འི  ཆོས་བཞིའོ 
 ཏེ  །_། 						ཏེ 	།_། 	སྲས་ཀྱི 	ཐུ་བོ 	-ར 	དབང 	bstod tshogs ka_.txt	     ཏེ  །_།  སྲས་ཀྱི  ཐུ་བོ  -ར  དབང 
 ཏེ  །_། 						ཏེ 	།_། 	རྨོངས་པ 	-འི 	མུན་པ 	-ར 	bstod tshogs ka_.txt	     ཏེ  །_།  རྨོངས་པ  -འི  མུན་པ  -ར 
 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པའོ 	།།_།།_༄༅།_། 	སེམས་ཀྱི 	རྡོ་རྗེ 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པའོ  །།_།།_༄༅།_།  སེམས་ཀྱི  རྡོ་རྗེ 
 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པའོ 	།།_།།༄༅།_། 	སྐུ་གསུམ་ལ 	བསྟོད་པ 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པའོ  །།_།།༄༅།_།  སྐུ་གསུམ་ལ  བསྟོད་པ 
 ཏེ  སྤྲོས་མེད་པ 						ཏེ 	སྤྲོས་མེད་པ 	།_། 	སོ་སོ 	རང་རིག 	རྒྱལ་བ 	bstod tshogs ka_.txt	     ཏེ  སྤྲོས་མེད་པ  །_།  སོ་སོ  རང་རིག  རྒྱལ་བ 
 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པའོ 	།།_།།༄༅།_ 	སྐུ་གསུམ་ལ 	བསྟོད་པ་ཞེས 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པའོ  །།_།།༄༅།_  སྐུ་གསུམ་ལ  བསྟོད་པ་ཞེས 
 ཏེ  །_ 						ཏེ 	།_ 	ནམ 	མཁའ 	ལྟར 	ཡོངས་སུ 	bstod tshogs ka_.txt	     ཏེ  །_  ནམ  མཁའ  ལྟར  ཡོངས་སུ 
 ཏེ  །_ 						ཏེ 	།_ 	གང་གི 	ཕྱིར 	ཀུན་དུ 	རྟོག་པ 	bstod tshogs ka_.txt	     ཏེ  །_  གང་གི  ཕྱིར  ཀུན་དུ  རྟོག་པ 
 ཏེ  །_ 						ཏེ 	།_ 	བདག་དང 	གཞན་ནི 	བདག་དང 	གཞན་ཏེ 	bstod tshogs ka_.txt	     ཏེ  །_  བདག་དང  གཞན་ནི  བདག་དང  གཞན་ཏེ 
 ཏེ  །_ 						ཏེ 	།_ 	རྨི་ལམ་ལ 	སོགས་པ 	-འི 	ཤེས་པ 	bstod tshogs ka_.txt	     ཏེ  །_  རྨི་ལམ་ལ  སོགས་པ  -འི  ཤེས་པ 
 ཏེ  མ་རིག་པ 						ཏེ 	མ་རིག་པ 	-འི 	བག་ཆགས་དང 	ཆོས་ཀྱི 	དབྱིངས 	bstod tshogs ka_.txt	     ཏེ  མ་རིག་པ  -འི  བག་ཆགས་དང  ཆོས་ཀྱི  དབྱིངས 
 ཏེ  །_ 						ཏེ 	།_ 	དངོས་པོ 	རྣམས་ཀྱི 	ཆོས་ཉིད་ནི 	དེ་ལྟ་བུའོ 	bstod tshogs ka_.txt	     ཏེ  །_  དངོས་པོ  རྣམས་ཀྱི  ཆོས་ཉིད་ནི  དེ་ལྟ་བུའོ 
 ཏེ  །_ 						ཏེ 	།_ 	འདི་ལ 	ཡོན་ཏན་དང 	ཉེས་པ 	ལེན་ཅིང 	bstod tshogs ka_.txt	     ཏེ  །_  འདི་ལ  ཡོན་ཏན་དང  ཉེས་པ  ལེན་ཅིང 
 ཏེ  །_ 						ཏེ 	།_ 	དངོས་པོ་ནི 	གཟུགས་སུ 	ཡོད་པའོ 	།_། 	bstod tshogs ka_.txt	     ཏེ  །_  དངོས་པོ་ནི  གཟུགས་སུ  ཡོད་པའོ  །_། 
 ཏེ  །_ 						ཏེ 	།_ 	དངོས་པོ་དང 	དངོས་པོ 	མེད་པ 	གཉི་ག་དང 	bstod tshogs ka_.txt	     ཏེ  །_  དངོས་པོ་དང  དངོས་པོ  མེད་པ  གཉི་ག་དང 
 ཏེ  །_། 						ཏེ 	།_། 	ཚིག 	ལམ་པ་ཡང 	གང་ཞིག་ཡོད 	།_། 	bstod tshogs ka_.txt	     ཏེ  །_།  ཚིག  ལམ་པ་ཡང  གང་ཞིག་ཡོད  །_། 
 ཏེ  ཤེས་བྱ 						ཏེ 	ཤེས་བྱ 	མ་ལུས་པ 	ཐུགས་སུ 	ཆུད་པ 	-ས 	bstod tshogs ka_.txt	     ཏེ  ཤེས་བྱ  མ་ལུས་པ  ཐུགས་སུ  ཆུད་པ  -ས 
 ཏེ  རབ་ཏུ 						ཏེ 	རབ་ཏུ 	མགུ་བ 	-འི 	རྒྱུ 	-ར་རོ 	bstod tshogs ka_.txt	     ཏེ  རབ་ཏུ  མགུ་བ  -འི  རྒྱུ  -ར་རོ 
 ཏེ ་དེ 						ཏེ	་དེ 	རྣམས་ཀྱི 	ནང་དུའོ 	།_། 	སྣ 	bstod tshogs ka_.txt	     ཏེ ་དེ  རྣམས་ཀྱི  ནང་དུའོ  །_།  སྣ 
 ཏེ  །_ 						ཏེ 	།_ 	ཆོས་ཀྱི 	སྲིད་ཀྱང་ཡིན 	ལ་ཆེན་པོ་ཡང 	ཡིན་པ 	bstod tshogs ka_.txt	     ཏེ  །_  ཆོས་ཀྱི  སྲིད་ཀྱང་ཡིན  ལ་ཆེན་པོ་ཡང  ཡིན་པ 
 ཏེ  །_ 						ཏེ 	།_ 	སེམས 	ཅན 	རྣམས་ནི་སྲོགས 	སྲོག་ཆགས 	bstod tshogs ka_.txt	     ཏེ  །_  སེམས  ཅན  རྣམས་ནི་སྲོགས  སྲོག་ཆགས 
 ཏེ  ཡོངས་སུ 						ཏེ 	ཡོངས་སུ 	སྨིན་པ 	-འི 	དོན་དུའོ 	།_། 	bstod tshogs ka_.txt	     ཏེ  ཡོངས་སུ  སྨིན་པ  -འི  དོན་དུའོ  །_། 
 ཏེ  །_ 						ཏེ 	།_ 	གང་གིས 	བདག་ཉིད་ཀྱིས 	བསོད་ནམས་དང 	ཡེ་ཤེས་ཀྱི 	bstod tshogs ka_.txt	     ཏེ  །_  གང་གིས  བདག་ཉིད་ཀྱིས  བསོད་ནམས་དང  ཡེ་ཤེས་ཀྱི 
 ཏེ  །_ 						ཏེ 	།_ 	དཀྱིལ 	འཁོར 	རྣམ་པ 	བཞི 	bstod tshogs ka_.txt	     ཏེ  །_  དཀྱིལ  འཁོར  རྣམ་པ  བཞི 
 ཏེ  །_། 						ཏེ 	།_། 	ཡང 	དག 	སངས་རྒྱས 	དེ 	bstod tshogs ka_.txt	     ཏེ  །_།  ཡང  དག  སངས་རྒྱས  དེ 
 ཏེ  །_ 						ཏེ 	།_ 	སེམས 	ཅན་གྱི 	དོན་ནི 	སྲོག་ཆགས 	bstod tshogs ka_.txt	     ཏེ  །_  སེམས  ཅན་གྱི  དོན་ནི  སྲོག་ཆགས 
 ཏེ  །_ 						ཏེ 	།_ 	བསོད 	ནམ 	-ས་དང 	ཡེ་ཤེས 	bstod tshogs ka_.txt	     ཏེ  །_  བསོད  ནམ  -ས་དང  ཡེ་ཤེས 
 ཏེ  གུས་པ 						ཏེ 	གུས་པ 	གཞན་དག་མིན 	།_། 	གང་གིས 	སྙིང་རྗེ 	bstod tshogs ka_.txt	     ཏེ  གུས་པ  གཞན་དག་མིན  །_།  གང་གིས  སྙིང་རྗེ 
 ཏེ  །_། 						ཏེ 	།_། 	གང་གིས་ཡིད་ནི 	མགུ་བ 	-ར 	བྱེད་པ 	bstod tshogs ka_.txt	     ཏེ  །_།  གང་གིས་ཡིད་ནི  མགུ་བ  -ར  བྱེད་པ 
 ཏེ  སེམས་ཅན 						ཏེ 	སེམས་ཅན 	རྣམས 	ཉིད 	བསྲུང 	མ 	bstod tshogs ka_.txt	     ཏེ  སེམས་ཅན  རྣམས  ཉིད  བསྲུང  མ 
 ཏེ  སེམས་ཅན 						ཏེ 	སེམས་ཅན 	མེད་ན 	འཁོར་བ 	-ར 	ཉོན་མོངས 	bstod tshogs ka_.txt	     ཏེ  སེམས་ཅན  མེད་ན  འཁོར་བ  -ར  ཉོན་མོངས 
 ཏེ  ང་ལ 						ཏེ 	ང་ལ 	སེམས་ཅན 	རྣམས་ལ 	བརྩེ 	མེད 	bstod tshogs ka_.txt	     ཏེ  ང་ལ  སེམས་ཅན  རྣམས་ལ  བརྩེ  མེད 
 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པའོ 	།།_།།༄༅།_། 	ཤེས 	རབ་ཀྱི 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པའོ  །།_།།༄༅།_།  ཤེས  རབ་ཀྱི 
 ཏེ  །_། 						ཏེ 	།_། 	ཟླ་བ་དང་ནི 	ཟླ་འོད་བཞིན 	།_། 	གུས་ལ 	bstod tshogs ka_.txt	     ཏེ  །_།  ཟླ་བ་དང་ནི  ཟླ་འོད་བཞིན  །_།  གུས་ལ 
 ཏེ  མ 						ཏེ 	མ 	སྐྱེས་ན 	།_། 	མཐོང་བ་ལ 	སོགས 	bstod tshogs ka_.txt	     ཏེ  མ  སྐྱེས་ན  །_།  མཐོང་བ་ལ  སོགས 
 ཏེ  །_། 						ཏེ 	།_། 	ཆད་པ 	སྟོང་པ 	འདྲ་བ་ལགས 	།_། 	bstod tshogs ka_.txt	     ཏེ  །_།  ཆད་པ  སྟོང་པ  འདྲ་བ་ལགས  །_། 
 ཏེ  །_། 						ཏེ 	།_། 	ཡང 	དག 	ལོག་པ 	-འང 	bstod tshogs ka_.txt	     ཏེ  །_།  ཡང  དག  ལོག་པ  -འང 
 ཏེ  །_། 						ཏེ 	།_། 	རང་གི 	རང་བཞིན 	མེད་ན་མིན 	།_། 	bstod tshogs ka_.txt	     ཏེ  །_།  རང་གི  རང་བཞིན  མེད་ན་མིན  །_། 
 ཏེ  ཡང་དག 						ཏེ 	ཡང་དག 	མཆིས 	གྱུར་ན 	།_། 	བྱིས་པ 	bstod tshogs ka_.txt	     ཏེ  ཡང་དག  མཆིས  གྱུར་ན  །_།  བྱིས་པ 
 ཏེ  །_། 						ཏེ 	།_། 	བསོད 	ནམ 	-ས 	ཡོན་ཏན 	bstod tshogs ka_.txt	     ཏེ  །_།  བསོད  ནམ  -ས  ཡོན་ཏན 
 ཏེ  །_། 						ཏེ 	།_། 	དེ་ལ 	རྩོད་པ 	མ 	མཆིས་པར 	bstod tshogs ka_.txt	     ཏེ  །_།  དེ་ལ  རྩོད་པ  མ  མཆིས་པར 
 ཏེ  སྐྱེ 						ཏེ 	སྐྱེ 	སོགས་གསུམ 	མཆིས་ན 	།_། 	འདུས 	bstod tshogs ka_.txt	     ཏེ  སྐྱེ  སོགས་གསུམ  མཆིས་ན  །_།  འདུས 
 ཏེ ་གཉིས 						ཏེ	་གཉིས 	ཀ་སྤངས 	།_། 	ཐམས་ཅད 	མཁྱེན་པ 	bstod tshogs ka_.txt	     ཏེ ་གཉིས  ཀ་སྤངས  །_།  ཐམས་ཅད  མཁྱེན་པ 
 ཏེ  །_། 						ཏེ 	།_། 	ཁྱོད་ལ 	སྐྱེ་བ 	ཡོང 	མི་མངའ 	bstod tshogs ka_.txt	     ཏེ  །_།  ཁྱོད་ལ  སྐྱེ་བ  ཡོང  མི་མངའ 
 ཏེ  །_། 						ཏེ 	།_། 	རིང་དང 	ཐུང་བ 	-འི 	ཁམས 	bstod tshogs ka_.txt	     ཏེ  །_།  རིང་དང  ཐུང་བ  -འི  ཁམས 
 ཏེ  །_། 						ཏེ 	།_། 	མྱ་ངན 	འདས་དང 	འཁོར 	མི་གནས 	bstod tshogs ka_.txt	     ཏེ  །_།  མྱ་ངན  འདས་དང  འཁོར  མི་གནས 
 ཏེ  སྤྱན་སྔ 						ཏེ 	སྤྱན་སྔ 	-ར 	འོ་དོད 	འབོད 	གྱུར་ཀྱང 	bstod tshogs ka_.txt	     ཏེ  སྤྱན་སྔ  -ར  འོ་དོད  འབོད  གྱུར་ཀྱང 
 ཏེ  བདག 						ཏེ 	བདག 	གནོད 	མི 	སེལ་ན 	།_། 	bstod tshogs ka_.txt	     ཏེ  བདག  གནོད  མི  སེལ་ན  །_། 
 ཏེ  །_། 						ཏེ 	།_། 	བྱང 	ཆུབ 	སྙིང་པོ 	-ར 	bstod tshogs ka_.txt	     ཏེ  །_།  བྱང  ཆུབ  སྙིང་པོ  -ར 
 ཏེ  །_། 						ཏེ 	།_། 	སྡོམ་དང 	ཚུལ་ཁྲིམས་ལ་ནི 	རབ 	བཀོད་པའི 	bstod tshogs ka_.txt	     ཏེ  །_།  སྡོམ་དང  ཚུལ་ཁྲིམས་ལ་ནི  རབ  བཀོད་པའི 
 ཏེ  །_། 						ཏེ 	།_། 	རིགས་ལ 	གཟིགས་ནས 	ལྷ་མོ 	སྒྱུ་འཕྲུལ་གྱི 	bstod tshogs ka_.txt	     ཏེ  །_།  རིགས་ལ  གཟིགས་ནས  ལྷ་མོ  སྒྱུ་འཕྲུལ་གྱི 
 ཏེ  སེམས་ཤིག 						ཏེ 	སེམས་ཤིག 	ཡོད་ན་ནི 	།_། 	དེ 	ཉིད་ལ་ནི 	bstod tshogs ka_.txt	     ཏེ  སེམས་ཤིག  ཡོད་ན་ནི  །_།  དེ  ཉིད་ལ་ནི 
 ཏེ  སྟོན 						ཏེ 	སྟོན 	བསྟོད 	མི 	བྱེད་ན 	།_། 	bstod tshogs ka_.txt	     ཏེ  སྟོན  བསྟོད  མི  བྱེད་ན  །_། 
 ཏེ  །_། 						ཏེ 	།_། 	གཞན་དུ 	བདག་ནི 	བསླུས་པ 	-ར་གྱུར 	bstod tshogs ka_.txt	     ཏེ  །_།  གཞན་དུ  བདག་ནི  བསླུས་པ  -ར་གྱུར 
 ཏེ  བསྟོད་པ 						ཏེ 	བསྟོད་པ 	མི 	བྱེད་ན 	།_། 	ཤཱ 	bstod tshogs ka_.txt	     ཏེ  བསྟོད་པ  མི  བྱེད་ན  །_།  ཤཱ 
 ཏེ ་བརྗོད 						ཏེ	་བརྗོད 	།_། 	གང་ཞིག 	གཞན་ལ 	སློབ་པ་དང 	bstod tshogs ka_.txt	     ཏེ ་བརྗོད  །_།  གང་ཞིག  གཞན་ལ  སློབ་པ་དང 
 ཏེ  །_། 						ཏེ 	།_། 	འབྲེལ་པ 	མེད་པ 	-འི 	གཉེན་འདུན་ལགས 	bstod tshogs ka_.txt	     ཏེ  །_།  འབྲེལ་པ  མེད་པ  -འི  གཉེན་འདུན་ལགས 
 ཏེ  །_། 						ཏེ 	།_། 	དཔའ 	ཁྱོད 	ཁོ་ན 	-ས 	bstod tshogs ka_.txt	     ཏེ  །_།  དཔའ  ཁྱོད  ཁོ་ན  -ས 
 ཏེ  །_། 						ཏེ 	།_། 	ཁྱད 	པར 	འཕགས་པ 	-ར 	bstod tshogs ka_.txt	     ཏེ  །_།  ཁྱད  པར  འཕགས་པ  -ར 
 ཏེ  །_། 						ཏེ 	།_། 	དུད 	འགྲོ 	དུ་མ 	རྣམས་ལ་ཡང 	bstod tshogs ka_.txt	     ཏེ  །_།  དུད  འགྲོ  དུ་མ  རྣམས་ལ་ཡང 
 ཏེ  །_། 						ཏེ 	།_། 	སེམས 	ཅན 	རྣམས་ལ 	ཉམས 	bstod tshogs ka_.txt	     ཏེ  །_།  སེམས  ཅན  རྣམས་ལ  ཉམས 
 ཏེ  །_། 						ཏེ 	།_། 	འཇིག 	རྟེན་པ་ཡིས 	དཔེ 	དངོས་ཀུན 	bstod tshogs ka_.txt	     ཏེ  །_།  འཇིག  རྟེན་པ་ཡིས  དཔེ  དངོས་ཀུན 
 ཏེ  །_། 						ཏེ 	།_། 	ཉོན་མོངས 	འཇིག་རྟེན 	ཆོས 	རྣམས་ཀྱིས 	bstod tshogs ka_.txt	     ཏེ  །_།  ཉོན་མོངས  འཇིག་རྟེན  ཆོས  རྣམས་ཀྱིས 
