 ཡིན ་པ་ལ 						ཡིན	་པ་ལ 	བསྟོད་པ 	།_༄༅༅།_། 	ཆོས་ཀྱི 	སྐུ་ལ 	bstod tshogs ka_.txt	     ཡིན ་པ་ལ  བསྟོད་པ  །_༄༅༅།_།  ཆོས་ཀྱི  སྐུ་ལ 
 ཡིན ་པ 						ཡིན	་པ 	ལ 	བསྟོད་པ 	།_ 	དེ 	bstod tshogs ka_.txt	     ཡིན ་པ  ལ  བསྟོད་པ  །_  དེ 
 ཡིན ་པ་ལ 						ཡིན	་པ་ལ 	བསྟོད་པ 	།_ 	སློབ་དཔོན 	ཐོགས་མེད་ཀྱིས 	bstod tshogs ka_.txt	     ཡིན ་པ་ལ  བསྟོད་པ  །_  སློབ་དཔོན  ཐོགས་མེད་ཀྱིས 
 ཡིན  །_། 						ཡིན 	།_། 	ནམ་ཡང 	འགག་པ 	-ར 	འགྱུར་བ་མེད 	bstod tshogs ka_.txt	     ཡིན  །_།  ནམ་ཡང  འགག་པ  -ར  འགྱུར་བ་མེད 
 ཡིན  །_། 						ཡིན 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	བསྒྲིབས་པའི 	bstod tshogs ka_.txt	     ཡིན  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས  བསྒྲིབས་པའི 
 ཡིན  །_། 						ཡིན 	།_། 	མྱ་ངན 	འདས་ན 	འོད་གསལ་འགྱུར 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  མྱ་ངན  འདས་ན  འོད་གསལ་འགྱུར  །_། 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	སྟོང་པ 	ཉིད་ནི 	སྟོན་པ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  སྟོང་པ  ཉིད་ནི  སྟོན་པ 
མ  ཡིན  །_།_ 	ཁམས་དེ 	ཉམས་པ 	-ར 	བྱེད 	མ 	ཡིན 	།_།_ 	-ས་ཡི་དཀྱིལ་ན 	ཡོད་པ 	-འི་ཆུ 	།_། 	bstod tshogs ka_.txt	ཁམས་དེ  ཉམས་པ  -ར  བྱེད  མ  ཡིན  །_།_  -ས་ཡི་དཀྱིལ་ན  ཡོད་པ  -འི་ཆུ  །_། 
 ཡིན  །_། 						ཡིན 	།_། 	བུད 	མེད 	མ་ཡིན 	སྐྱེས་པ 	bstod tshogs ka_.txt	     ཡིན  །_།  བུད  མེད  མ་ཡིན  སྐྱེས་པ 
 ཡིན  །_། 						ཡིན 	།_། 	འདོད 	ཆགས་ཀྱིས 	ལྡོངས 	གདུལ་བྱ 	bstod tshogs ka_.txt	     ཡིན  །_།  འདོད  ཆགས་ཀྱིས  ལྡོངས  གདུལ་བྱ 
 ཡིན  །_། 						ཡིན 	།_། 	ཇི 	ལྟར 	སྦྲུམ་མ 	-འི 	bstod tshogs ka_.txt	     ཡིན  །_།  ཇི  ལྟར  སྦྲུམ་མ  -འི 
 ཡིན ་པ 						ཡིན	་པ 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	bstod tshogs ka_.txt	     ཡིན ་པ  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས 
 ཡིན  །_། 						ཡིན 	།_། 	བདག་དང 	བདག་གི 	རྣམ་རྟོག་དང 	_།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  བདག་དང  བདག་གི  རྣམ་རྟོག་དང  _།_། 
 ཡིན  །_། 						ཡིན 	།_། 	ཕྲ 	རབ 	རྡུལ་གྱི 	ངོ་བོ་ཡིས 	bstod tshogs ka_.txt	     ཡིན  །_།  ཕྲ  རབ  རྡུལ་གྱི  ངོ་བོ་ཡིས 
 ཡིན  །_། 						ཡིན 	།_། 	ཇི 	ལྟར 	སྔོན་བཞིན 	ཕྱིས་དེ་བཞིན 	bstod tshogs ka_.txt	     ཡིན  །_།  ཇི  ལྟར  སྔོན་བཞིན  ཕྱིས་དེ་བཞིན 
 ཡིན ་ན 						ཡིན	་ན 	།_། 	བྱིས་པ 	ཇི་ལྟར 	རྟོག་པ 	bstod tshogs ka_.txt	     ཡིན ་ན  །_།  བྱིས་པ  ཇི་ལྟར  རྟོག་པ 
 ཡིན  །_། 						ཡིན 	།_། 	ཉོན་མོངས་དྲྭ 	བས 	གཡོགས་པ་ནི 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  ཉོན་མོངས་དྲྭ  བས  གཡོགས་པ་ནི  །_། 
 ཡིན  །_། 						ཡིན 	།_། 	རྣམ 	པར 	ཤེས་པ 	གནས 	bstod tshogs ka_.txt	     ཡིན  །_།  རྣམ  པར  ཤེས་པ  གནས 
 ཡིན  །_། 						ཡིན 	།_། 	མིག་དང 	རྣ་བ 	སྣ 	དག་དང 	bstod tshogs ka_.txt	     ཡིན  །_།  མིག་དང  རྣ་བ  སྣ  དག་དང 
 ཡིན ་ཞིང 						ཡིན	་ཞིང 	_།_། 	ཉོན་མོངས 	གཟེབ 	གྱུར 	bstod tshogs ka_.txt	     ཡིན ་ཞིང  _།_།  ཉོན་མོངས  གཟེབ  གྱུར 
 ཡིན  །_། 						ཡིན 	།_། 	ཤེས 	རབ 	མར་མེ་ལ 	གནས་ནས 	bstod tshogs ka_.txt	     ཡིན  །_།  ཤེས  རབ  མར་མེ་ལ  གནས་ནས 
 ཡིན  །_། 						ཡིན 	།_། 	ཕྱི 	རོལ 	སེམས་ཅན 	ཁམས་ཀྱི་ཡང 	bstod tshogs ka_.txt	     ཡིན  །_།  ཕྱི  རོལ  སེམས་ཅན  ཁམས་ཀྱི་ཡང 
 ཡིན  དེ་བཞིན་གནས 						ཡིན 	དེ་བཞིན་གནས 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	bstod tshogs ka_.txt	     ཡིན  དེ་བཞིན་གནས  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས 
 ཡིན  །_། 						ཡིན 	།_། 	ཐབས 	དང་བཅས་པ 	-འི 	ཤེས་རབ་དང 	bstod tshogs ka_.txt	     ཡིན  །_།  ཐབས  དང་བཅས་པ  -འི  ཤེས་རབ་དང 
 ཡིན  །_། 						ཡིན 	།_། 	བུར་ཤིང 	ས་བོན་ལ 	སྡང་གང 	_།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  བུར་ཤིང  ས་བོན་ལ  སྡང་གང  _།_། 
 ཡིན  །_། 						ཡིན 	།_། 	བུར་ཤིང 	ས་བོན་གང 	བསྲུངས་ནས 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  བུར་ཤིང  ས་བོན་གང  བསྲུངས་ནས  །_། 
 ཡིན  །_། 						ཡིན 	།_། 	ཉོན་མོངས་དྲྭ་བ 	རབ 	འགགས་ནས 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  ཉོན་མོངས་དྲྭ་བ  རབ  འགགས་ནས  །_། 
 ཡིན  །_། 						ཡིན 	།_། 	བག 	ཆགས་ལས 	གྲོལ 	བསམ 	bstod tshogs ka_.txt	     ཡིན  །_།  བག  ཆགས་ལས  གྲོལ  བསམ 
 ཡིན  །_། 						ཡིན 	།_། 	ལྷག 	བཅས 	མྱ་ངན 	འདས་པ་རྣམས 	bstod tshogs ka_.txt	     ཡིན  །_།  ལྷག  བཅས  མྱ་ངན  འདས་པ་རྣམས 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	ཁོང 	སྟོང 	ཁྱོད་ཀྱི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  ཁོང  སྟོང  ཁྱོད་ཀྱི 
 ཡིན  །_། 						ཡིན 	།_། 	གཟུགས 	ཉིད 	གཟུང་བ 	-ར 	bstod tshogs ka_.txt	     ཡིན  །_།  གཟུགས  ཉིད  གཟུང་བ  -ར 
 ཡིན  ཡོད་མེད་མིན 						ཡིན 	ཡོད་མེད་མིན 	།_། 	བདག 	ལས་མ་ཡིན 	གཞན་ལས་མིན 	bstod tshogs ka_.txt	     ཡིན  ཡོད་མེད་མིན  །_།  བདག  ལས་མ་ཡིན  གཞན་ལས་མིན 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	མེད་པ 	མི 	གནས་པ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  མེད་པ  མི  གནས་པ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	རེ་ཞིག 	ཞིག་པ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  རེ་ཞིག  ཞིག་པ  -འི 
 ཡིན  །_། 						ཡིན 	།_། 	མི 	རྟག་པ 	ལ 	-འང 	bstod tshogs ka_.txt	     ཡིན  །_།  མི  རྟག་པ  ལ  -འང 
 ཡིན  །_། 						ཡིན 	།_། 	སེམས 	ཐོབ་པ་ནི 	བྱང་ཆུབ་སྟེ 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  སེམས  ཐོབ་པ་ནི  བྱང་ཆུབ་སྟེ  །_། 
 ཡིན  །_། 						ཡིན 	།_། 	བདེ་དང 	སྡུག་བསྔལ 	མཚན་ཉིད་དག 	_། 	bstod tshogs ka_.txt	     ཡིན  །_།  བདེ་དང  སྡུག་བསྔལ  མཚན་ཉིད་དག  _། 
 ཡིན  །_། 						ཡིན 	།_། 	རྣམ 	པར 	རྟོག་པ 	སྤངས་པ 	bstod tshogs ka_.txt	     ཡིན  །_།  རྣམ  པར  རྟོག་པ  སྤངས་པ 
 ཡིན  །_། 						ཡིན 	།_། 	དེ 	བས 	ཀུན་གྱིས 	འབད་པ་ཡིས 	bstod tshogs ka_.txt	     ཡིན  །_།  དེ  བས  ཀུན་གྱིས  འབད་པ་ཡིས 
 ཡིན  བདག་དང 						ཡིན 	བདག་དང 	གཞན་ལ 	ཕན་པ 	ཕུན 	སུམ 	bstod tshogs ka_.txt	     ཡིན  བདག་དང  གཞན་ལ  ཕན་པ  ཕུན  སུམ 
 ཡིན  མཁའ 						ཡིན 	མཁའ 	ལྟར 	རོ་གཅིག 	རྟོགས་པ 	-ར 	bstod tshogs ka_.txt	     ཡིན  མཁའ  ལྟར  རོ་གཅིག  རྟོགས་པ  -ར 
 ཡིན ་དེ་ལ 						ཡིན	་དེ་ལ 	བདག 	ཕྱག་འཚལ 	།_། 	རང་གི 	bstod tshogs ka_.txt	     ཡིན ་དེ་ལ  བདག  ཕྱག་འཚལ  །_།  རང་གི 
 ཡིན ་དེ་ལ 						ཡིན	་དེ་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སེམས 	bstod tshogs ka_.txt	     ཡིན ་དེ་ལ  ཕྱག  འཚལ་ལོ  །_།  སེམས 
 ཡིན ་དེ་ལ 						ཡིན	་དེ་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སེམས 	bstod tshogs ka_.txt	     ཡིན ་དེ་ལ  ཕྱག  འཚལ་ལོ  །_།  སེམས 
 ཡིན ་དེས 						ཡིན	་དེས 	།_། 	སྐུ་གསུམ 	ཐོབ་ནས 	འགྲོ་བ 	bstod tshogs ka_.txt	     ཡིན ་དེས  །_།  སྐུ་གསུམ  ཐོབ་ནས  འགྲོ་བ 
 ཡིན ་ཞེས 						ཡིན	་ཞེས 	བྱ་བ་ལ 	སོགས་པ 	-འི 	ཚིགས་སུ 	bstod tshogs ka_.txt	     ཡིན ་ཞེས  བྱ་བ་ལ  སོགས་པ  -འི  ཚིགས་སུ 
དགོས་པ  ཡིན ་པ 	-ར 	ཕྱིན་པ་ནི 	དགོས་པ 	-འི་ཡང 	དགོས་པ 	ཡིན	་པ 	-ར 	ཤེས་པ 	-ར 	བྱ་སྟེ 	bstod tshogs ka_.txt	-ར  ཕྱིན་པ་ནི  དགོས་པ  -འི་ཡང  དགོས་པ  ཡིན ་པ  -ར  ཤེས་པ  -ར  བྱ་སྟེ 
 ཡིན  ནོ 						ཡིན 	ནོ 	།_། 	ད་ནི 	ཡན་ལག་གི 	དོན 	bstod tshogs ka_.txt	     ཡིན  ནོ  །_།  ད་ནི  ཡན་ལག་གི  དོན 
 ཡིན ་ཞེས 						ཡིན	་ཞེས 	བྱ་བ་ལ 	སོགས་པ་ལ 	།_ 	གཅིག་དང 	bstod tshogs ka_.txt	     ཡིན ་ཞེས  བྱ་བ་ལ  སོགས་པ་ལ  །_  གཅིག་དང 
 ཡིན ་པ་དེ་ལ 						ཡིན	་པ་དེ་ལ 	བདག 	ཕྱག 	འཚལ་ལོ་ཞེས 	བྱ་བ 	bstod tshogs ka_.txt	     ཡིན ་པ་དེ་ལ  བདག  ཕྱག  འཚལ་ལོ་ཞེས  བྱ་བ 
 ཡིན  ལ་དུ 						ཡིན 	ལ་དུ 	མ་ཡང 	མ་ཡིན 	ཞེ་ན 	།_ 	bstod tshogs ka_.txt	     ཡིན  ལ་དུ  མ་ཡང  མ་ཡིན  ཞེ་ན  །_ 
 ཡིན  ཞེ་ན 						ཡིན 	ཞེ་ན 	།_ 	ཉེས་པ 	མེད་དེ 	།_ 	bstod tshogs ka_.txt	     ཡིན  ཞེ་ན  །_  ཉེས་པ  མེད་དེ  །_ 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	རྨི་ལམ་ལ 	སོགས་པ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  རྨི་ལམ་ལ  སོགས་པ  -འི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	གཞན་ཡང 	དགེ་བ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  གཞན་ཡང  དགེ་བ  -འི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ 	ཅི 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ  ཅི  -འི 
 ཡིན  །_། 						ཡིན 	།_། 	ཞེས 	བྱ་བ 	སྨོས་ཏེ 	།_ 	bstod tshogs ka_.txt	     ཡིན  །_།  ཞེས  བྱ་བ  སྨོས་ཏེ  །_ 
 ཡིན  །_། 						ཡིན 	།_། 	ཞེས 	བྱ་བ་སྟེ 	ཡོད་པ་དང 	མེད་པ་དང 	bstod tshogs ka_.txt	     ཡིན  །_།  ཞེས  བྱ་བ་སྟེ  ཡོད་པ་དང  མེད་པ་དང 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	འདྲེན་པ 	མཉམ་པ 	མེད 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  འདྲེན་པ  མཉམ་པ  མེད 
 ཡིན ་ཞེས 						ཡིན	་ཞེས 	བྱ་བ 	སྨོས་ཏེ 	།_ 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	     ཡིན ་ཞེས  བྱ་བ  སྨོས་ཏེ  །_  ཆོས་ཀྱི 
 ཡིན ་པ 	སྲིད་ཀྱང་ཡིན 	ལ་ཆེན་པོ་ཡང 				ཡིན	་པ 	-ས་ན 	ཆོས་ཀྱི 	རྒྱལ་སྲིད 	ཆེན་པོ་སྟེ 	bstod tshogs ka_.txt	སྲིད་ཀྱང་ཡིན  ལ་ཆེན་པོ་ཡང     ཡིན ་པ  -ས་ན  ཆོས་ཀྱི  རྒྱལ་སྲིད  ཆེན་པོ་སྟེ 
 ཡིན ་པ་དེ་ལ 						ཡིན	་པ་དེ་ལ 	དེ་སྐད་ཅེས་བྱའོ 	།_། 	དེ 	ལྟར 	bstod tshogs ka_.txt	     ཡིན ་པ་དེ་ལ  དེ་སྐད་ཅེས་བྱའོ  །_།  དེ  ལྟར 
 ཡིན ་པ་དེ་ལ 						ཡིན	་པ་དེ་ལ 	ཕྱག 	འཚལ་ལོ་ཞེས 	སློབ་དཔོན 	ཀླུ་སྒྲུབ་ཀྱིས 	bstod tshogs ka_.txt	     ཡིན ་པ་དེ་ལ  ཕྱག  འཚལ་ལོ་ཞེས  སློབ་དཔོན  ཀླུ་སྒྲུབ་ཀྱིས 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ་ནི 	འདི་སྐད་དུ 	སྟོན་པ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ་ནི  འདི་སྐད་དུ  སྟོན་པ 
དོན  ཡིན ་པ 	རབ་ཏུ 	སྒྲུབ 	ཅེས་བྱ་བ 	-འི 	དོན 	ཡིན	་པ 	-ས་ན 	།_ 	འགྲོ 	བ 	bstod tshogs ka_.txt	རབ་ཏུ  སྒྲུབ  ཅེས་བྱ་བ  -འི  དོན  ཡིན ་པ  -ས་ན  །_  འགྲོ  བ 
 ཡིན ་པ་དེ་ནི 						ཡིན	་པ་དེ་ནི 	སེམས་ཅན་གྱི 	དོན 	གཅིག 	རྒྱུན་དུ 	bstod tshogs ka_.txt	     ཡིན ་པ་དེ་ནི  སེམས་ཅན་གྱི  དོན  གཅིག  རྒྱུན་དུ 
ཉིད  ཡིན ་པ 	པར 	གཤེགས་པ 	-འི 	ཆོས་ཅན 	ཉིད 	ཡིན	་པ 	-ས་ན 	བདེ་བ 	-ར 	གཤེགས་པའོ 	bstod tshogs ka_.txt	པར  གཤེགས་པ  -འི  ཆོས་ཅན  ཉིད  ཡིན ་པ  -ས་ན  བདེ་བ  -ར  གཤེགས་པའོ 
 ཡིན ་པ 						ཡིན	་པ 	དེ 	-ས 	ཆོས་དང 	ལོངས་སྤྱོད 	bstod tshogs ka_.txt	     ཡིན ་པ  དེ  -ས  ཆོས་དང  ལོངས་སྤྱོད 
 ཡིན  །_། 						ཡིན 	།_། 	སློབ་དཔོན 	ཀླུ་སྒྲུབ་ཀྱིས 	མཛད་པ 	-འི 	bstod tshogs ka_.txt	     ཡིན  །_།  སློབ་དཔོན  ཀླུ་སྒྲུབ་ཀྱིས  མཛད་པ  -འི 
 ཡིན ་པ 						ཡིན	་པ 	།_། 	དེ་ནི 	དེ་ལས 	སྙིང་རྗེ 	bstod tshogs ka_.txt	     ཡིན ་པ  །_།  དེ་ནི  དེ་ལས  སྙིང་རྗེ 
མཆོད་པ  ཡིན ་པ 	གང་གིས་ཡིད་ནི 	མགུ་བ 	-ར 	བྱེད་པ 	མཆོད་པ 	ཡིན	་པ 	-ས་སོ 	།_། 	གནོད་པ 	-འི 	bstod tshogs ka_.txt	གང་གིས་ཡིད་ནི  མགུ་བ  -ར  བྱེད་པ  མཆོད་པ  ཡིན ་པ  -ས་སོ  །_།  གནོད་པ  -འི 
 ཡིན  །_། 						ཡིན 	།_། 	སེམས 	ཅན 	རྣམས་ལ 	བརྟེན་ནས 	bstod tshogs ka_.txt	     ཡིན  །_།  སེམས  ཅན  རྣམས་ལ  བརྟེན་ནས 
 ཡིན ་པ 						ཡིན	་པ 	།_། 	དེས་ནི 	དེ་བཞིན 	གཤེགས་པ་མཐོང 	bstod tshogs ka_.txt	     ཡིན ་པ  །_།  དེས་ནི  དེ་བཞིན  གཤེགས་པ་མཐོང 
 ཡིན  །_། 						ཡིན 	།_། 	ཡོད་ཡིན 	མེད 	མིན 	ཡོད་མེད་མིན 	bstod tshogs ka_.txt	     ཡིན  །_།  ཡོད་ཡིན  མེད  མིན  ཡོད་མེད་མིན 
 ཡིན ་དང 						ཡིན	་དང 	_།_། 	ལུང 	མ 	བསྟན་པ 	bstod tshogs ka_.txt	     ཡིན ་དང  _།_།  ལུང  མ  བསྟན་པ 
 ཡིན  ཅི་ཡང་མེད 						ཡིན 	ཅི་ཡང་མེད 	།_། 	གཞི 	མེད་པ་དང 	མི 	bstod tshogs ka_.txt	     ཡིན  ཅི་ཡང་མེད  །_།  གཞི  མེད་པ་དང  མི 
 ཡིན  །_། 						ཡིན 	།_། 	ངོ་བོ 	ཉིད་དང 	རང་བཞིན་དང 	_།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  ངོ་བོ  ཉིད་དང  རང་བཞིན་དང  _།_། 
 ཡིན  །_། 						ཡིན 	།_། 	དེ 	བཞིན 	འགྲོ་བ 	ཐམས་ཅད་ཀྱང 	bstod tshogs ka_.txt	     ཡིན  །_།  དེ  བཞིན  འགྲོ་བ  ཐམས་ཅད་ཀྱང 
 ཡིན ་དེས 						ཡིན	་དེས 	།_། 	འཇིག 	རྟེན 	ཡང་དག 	bstod tshogs ka_.txt	     ཡིན ་དེས  །_།  འཇིག  རྟེན  ཡང་དག 
 ཡིན ་ཞེས 						ཡིན	་ཞེས 	།_། 	གླེན་གང་གང་གིས 	ཕུན་ཚོགས 	ཟད 	bstod tshogs ka_.txt	     ཡིན ་ཞེས  །_།  གླེན་གང་གང་གིས  ཕུན་ཚོགས  ཟད 
 ཡིན  དེ 						ཡིན 	དེ 	-ས་ནི 	འགྲོ་ལ 	བསོད་ནམས་དག 	_། 	bstod tshogs ka_.txt	     ཡིན  དེ  -ས་ནི  འགྲོ་ལ  བསོད་ནམས་དག  _། 
 ཡིན ་གྱིས 						ཡིན	་གྱིས 	གཏིང 	རྙེད་པའི 	།_། 	ཁྱོད་ཀྱི 	bstod tshogs ka_.txt	     ཡིན ་གྱིས  གཏིང  རྙེད་པའི  །_།  ཁྱོད་ཀྱི 
 ཡིན  །_། 						ཡིན 	།_། 	འཇིག 	རྟེན 	ལེགས་པ 	གང་ཅི 	bstod tshogs ka_.txt	     ཡིན  །_།  འཇིག  རྟེན  ལེགས་པ  གང་ཅི 
 ཡིན ་ཡང 						ཡིན	་ཡང 	།_། 	གང་གིས 	རྒྱལ་བ 	-ར 	bstod tshogs ka_.txt	     ཡིན ་ཡང  །_།  གང་གིས  རྒྱལ་བ  -ར 
 ཡིན  །_། 						ཡིན 	།_། 	འདོད 	ཆགས་བྲལ 	བས 	ཆགས 	bstod tshogs ka_.txt	     ཡིན  །_།  འདོད  ཆགས་བྲལ  བས  ཆགས 
 ཡིན ་ཡང 						ཡིན	་ཡང 	།_། 	གང་ཞིག་ཡི 	དགས 	རྣམས་ཀྱིས་ནི 	bstod tshogs ka_.txt	     ཡིན ་ཡང  །_།  གང་ཞིག་ཡི  དགས  རྣམས་ཀྱིས་ནི 
 ཡིན  །_། 						ཡིན 	།_། 	གང་གིས 	ཁྱོད་ཀྱང 	འདོད་ཆུང་བའི 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  གང་གིས  ཁྱོད་ཀྱང  འདོད་ཆུང་བའི  །_། 
 ཡིན ་ཕྱིར 						ཡིན	་ཕྱིར 	།_། 	ཐམས་ཅད་དུ་ནི 	ཚིག 	མི་འགྲུབ 	bstod tshogs ka_.txt	     ཡིན ་ཕྱིར  །_།  ཐམས་ཅད་དུ་ནི  ཚིག  མི་འགྲུབ 
 ཡིན ་ལས 						ཡིན	་ལས 	ལྡོག་པ་དང 	།_། 	གནས་ལ 	ཞུགས་ལ 	bstod tshogs ka_.txt	     ཡིན ་ལས  ལྡོག་པ་དང  །_།  གནས་ལ  ཞུགས་ལ 
 ཡིན  །_། 						ཡིན 	།_། 	བྱང 	ཆུབ 	ཉེ་བ 	-འི 	bstod tshogs ka_.txt	     ཡིན  །_།  བྱང  ཆུབ  ཉེ་བ  -འི 
 ཡིན ་ཅི་ཞིག 						ཡིན	་ཅི་ཞིག 	འགྲན 	།_།_ 	-འོ 	ན 	bstod tshogs ka_.txt	     ཡིན ་ཅི་ཞིག  འགྲན  །_།_  -འོ  ན 
