 ཡིན ་པ་ལ 						ཡིན	་པ་ལ 	བསྟོད་པ 	།_༄༅༅།_། 	ཆོས་ཀྱི 	སྐུ་ལ 	bstod tshogs ka_.txt	     ཡིན ་པ་ལ  བསྟོད་པ  །_༄༅༅།_།  ཆོས་ཀྱི  སྐུ་ལ 
 ཡིན ་པ 						ཡིན	་པ 	-འི 	ཡོན་ཏན 	རྗོད་པ 	-ར 	bstod tshogs ka_.txt	     ཡིན ་པ  -འི  ཡོན་ཏན  རྗོད་པ  -ར 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ་ལ 	རྒྱུ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ་ལ  རྒྱུ  -འི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	འབྲས 	བུ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  འབྲས  བུ  -འི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	སེམས 	ཅན་གྱི 	དོན 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  སེམས  ཅན་གྱི  དོན 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ་ལ 	རྒྱུ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ་ལ  རྒྱུ  -འི 
 ཡིན ་པའོ 						ཡིན	་པའོ 	།_། 	དེའི 	ཉེ་བ 	-ར 	bstod tshogs ka_.txt	     ཡིན ་པའོ  །_།  དེའི  ཉེ་བ  -ར 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེའི 	རྒྱུ་ཡང 	རྣམ་པ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེའི  རྒྱུ་ཡང  རྣམ་པ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	གང 	སླད 	གལ་ཏེ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  གང  སླད  གལ་ཏེ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	འཇིག 	རྟེན 	འདི་དག 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  འཇིག  རྟེན  འདི་དག 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	དེ 	ལྟར 	ཚིགས་སུ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  དེ  ལྟར  ཚིགས་སུ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	བསམ་པ 	-འི 	གནས་སྐབས་ཀྱི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  བསམ་པ  -འི  གནས་སྐབས་ཀྱི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ་ཡང 	རྣམ་པ་གཉིས་ཏེ 	།_ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ་ཡང  རྣམ་པ་གཉིས་ཏེ  །_ 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	བསམ་པ 	ཕུན 	སུམ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  བསམ་པ  ཕུན  སུམ 
 ཡིན  ནོ 						ཡིན 	ནོ 	།_། 	ས 	ཐོབ་པ 	རྣམས་ཀྱི 	bstod tshogs ka_.txt	     ཡིན  ནོ  །_།  ས  ཐོབ་པ  རྣམས་ཀྱི 
 ཡིན ་ཞེས 						ཡིན	་ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	ཆོས་སྟོན་པ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ཞེས  བྱ་བ  འདི་དག་གིས་ནི  ཆོས་སྟོན་པ  -འི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	སེམས 	ཅན་གྱི 	དོན 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  སེམས  ཅན་གྱི  དོན 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	ཡོན་ཏན 	མཐའ་ཡས་པ 	-ར 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  ཡོན་ཏན  མཐའ་ཡས་པ  -ར 
 ཡིན ་གསུམ་གྱིས་གཞན 						ཡིན	་གསུམ་གྱིས་གཞན 	།_། 	དང་པོ 	-འི 	ཁྱད་པར 	bstod tshogs ka_.txt	     ཡིན ་གསུམ་གྱིས་གཞན  །_།  དང་པོ  -འི  ཁྱད་པར 
 ཡིན  །_། 						ཡིན 	།_། 	འབྲས 	བུ་གསུམ་སྟེ 	བྱང་ཆུབ་དང 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_།  འབྲས  བུ་གསུམ་སྟེ  བྱང་ཆུབ་དང  །_། 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	འདི 	ལྟར 	མཇུག་ཏུ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  འདི  ལྟར  མཇུག་ཏུ 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	རྣམ 	པར་མ 	དག་པ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  རྣམ  པར་མ  དག་པ 
ཅན  ཡིན ་ཡང 	ཡོངས་སུ 	དག་པ 	-འི 	བདག་ཉིད 	ཅན 	ཡིན	་ཡང 	སྙིང་རྗེ 	ཆེན་པོ་དང 	བྲལ་ན 	གཞན་གྱི 	bstod tshogs ka_.txt	ཡོངས་སུ  དག་པ  -འི  བདག་ཉིད  ཅན  ཡིན ་ཡང  སྙིང་རྗེ  ཆེན་པོ་དང  བྲལ་ན  གཞན་གྱི 
 ཡིན ་པ 						ཡིན	་པ 	-ར 	གྱུར་ཏེ 	།_ 	སེམས 	bstod tshogs ka_.txt	     ཡིན ་པ  -ར  གྱུར་ཏེ  །_  སེམས 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	ཚིག 	རྣམ་པ 	-ར 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  ཚིག  རྣམ་པ  -ར 
-འང  ཡིན ་པ 	མཉམ་པ 	མེད་པ 	-འང་ཡིན་ལ 	མི་གཡོ་བ 	-འང 	ཡིན	་པ 	-ས 	མཉམ་མེད 	མི 	གཡོ་བའོ 	bstod tshogs ka_.txt	མཉམ་པ  མེད་པ  -འང་ཡིན་ལ  མི་གཡོ་བ  -འང  ཡིན ་པ  -ས  མཉམ་མེད  མི  གཡོ་བའོ 
ཉིད་ཀྱང  ཡིན ་པ 	མེད་པ་དང 	མི་གཡོ་བ 	-འང་ཡིན་ལ 	མཉམ་པ 	ཉིད་ཀྱང 	ཡིན	་པ 	-ས 	དེ་སྐད་ཅེས 	བྱ་སྟེ 	།_ 	bstod tshogs ka_.txt	མེད་པ་དང  མི་གཡོ་བ  -འང་ཡིན་ལ  མཉམ་པ  ཉིད་ཀྱང  ཡིན ་པ  -ས  དེ་སྐད་ཅེས  བྱ་སྟེ  །_ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ 	གང་དག་ལ 	ཡོད་པ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ  གང་དག་ལ  ཡོད་པ 
ཆོས་ཀྱང  ཡིན ་པ 	མཉམ་མོ 	།_། 	འདི་ནི 	མཆོག་ཀྱང་ཡིན་ལ 	ཆོས་ཀྱང 	ཡིན	་པ 	-ས 	མཆོག 	ཆོས་ཏེ 	།_ 	bstod tshogs ka_.txt	མཉམ་མོ  །_།  འདི་ནི  མཆོག་ཀྱང་ཡིན་ལ  ཆོས་ཀྱང  ཡིན ་པ  -ས  མཆོག  ཆོས་ཏེ  །_ 
བྱ་བ  ཡིན ་པ 	གསལ་བ 	-ས 	ཤེས་པ 	-ར 	བྱ་བ 	ཡིན	་པ 	-འི་ཕྱིར 	།_ 	དེ 	བཞིན 	bstod tshogs ka_.txt	གསལ་བ  -ས  ཤེས་པ  -ར  བྱ་བ  ཡིན ་པ  -འི་ཕྱིར  །_  དེ  བཞིན 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ་ཇི 	ལྟ 	ཞེ་ན 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ་ཇི  ལྟ  ཞེ་ན 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	རྣམ་པ 	གཅིག་ཏུ་ན 	མཆོག 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  རྣམ་པ  གཅིག་ཏུ་ན  མཆོག 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	འགྲོ 	བ 	-འི་ཞེས 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  འགྲོ  བ  -འི་ཞེས 
གང་དག  ཡིན ་པ 	ཡན་ལག་ལ 	སོགས་པ 	-འི 	ཡོན་ཏན 	གང་དག 	ཡིན	་པ 	ཀུན་ལ 	མཉམ་པ་དང 	མཐའ་མེད་པ 	དེ་དག་ནི 	bstod tshogs ka_.txt	ཡན་ལག་ལ  སོགས་པ  -འི  ཡོན་ཏན  གང་དག  ཡིན ་པ  ཀུན་ལ  མཉམ་པ་དང  མཐའ་མེད་པ  དེ་དག་ནི 
གང་དག  ཡིན ་པ 	ཡོན་ཏན 	དཔེ་མེད་ཅིང་སོ 	སོར་ཚད 	མེད་པ 	གང་དག 	ཡིན	་པ 	དེ་དག 	སྩོལ་བ་ཞེས 	བྱ་བ 	-འི 	bstod tshogs ka_.txt	ཡོན་ཏན  དཔེ་མེད་ཅིང་སོ  སོར་ཚད  མེད་པ  གང་དག  ཡིན ་པ  དེ་དག  སྩོལ་བ་ཞེས  བྱ་བ  -འི 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	གང 	དག་ལ 	གཞན་ལ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  གང  དག་ལ  གཞན་ལ 
འདྲེས་པ  ཡིན ་པ 	རབ་ནི 	མཆོག་རབ་སྟེ 	།_ 	མ 	འདྲེས་པ 	ཡིན	་པ 	-འི 	ཕྱིར 	གཙོ་བོ 	རྣམས་ཀྱི་ཡང 	bstod tshogs ka_.txt	རབ་ནི  མཆོག་རབ་སྟེ  །_  མ  འདྲེས་པ  ཡིན ་པ  -འི  ཕྱིར  གཙོ་བོ  རྣམས་ཀྱི་ཡང 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	ཡང་ན 	ཆོས་ཀྱི 	དབྱིངས 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  ཡང་ན  ཆོས་ཀྱི  དབྱིངས 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	གཞན 	དག 	ན་རེ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  གཞན  དག  ན་རེ 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	ཚིགས་སུ 	བཅད་པ 	དང་པོ་དང 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  ཚིགས་སུ  བཅད་པ  དང་པོ་དང 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ་ལ 	ཀླན་ཀ 	ངན་པ་ནི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ་ལ  ཀླན་ཀ  ངན་པ་ནི 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	ཇི 	ལྟར 	ན་མཉམ་པ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  ཇི  ལྟར  ན་མཉམ་པ 
 ཡིན  །_ 						ཡིན 	།_ 	འདི 	ལྟར 	འདི་དག་དང 	མཉམ་པ 	bstod tshogs ka_.txt	     ཡིན  །_  འདི  ལྟར  འདི་དག་དང  མཉམ་པ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ 	བས་ན 	དཔེ་མེད་པ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ  བས་ན  དཔེ་མེད་པ 
དཔེ  ཡིན ་པ 	གང 	དག 	མཉམ་པ 	-ས 	དཔེ 	ཡིན	་པ 	དེ་དག་ནི 	མཉམ་པ 	-འི་དཔེའོ 	།_། 	bstod tshogs ka_.txt	གང  དག  མཉམ་པ  -ས  དཔེ  ཡིན ་པ  དེ་དག་ནི  མཉམ་པ  -འི་དཔེའོ  །_། 
 ཡིན  །_ 						ཡིན 	།_ 	ཡོན་ཏན་གྱི 	ཤས་ནི 	ཤས་ཆུང་ངོ 	།_། 	bstod tshogs ka_.txt	     ཡིན  །_  ཡོན་ཏན་གྱི  ཤས་ནི  ཤས་ཆུང་ངོ  །_། 
 ཡིན ་ཞིང 						ཡིན	་ཞིང 	འདྲ་བ 	མ་ཡིན་ཏེ 	།_ 	འདི་ནི 	bstod tshogs ka_.txt	     ཡིན ་ཞིང  འདྲ་བ  མ་ཡིན་ཏེ  །_  འདི་ནི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	ཇི 	ལྟར་དེ་དང་ཡང 	ནམ་མཁའ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  ཇི  ལྟར་དེ་དང་ཡང  ནམ་མཁའ 
 ཡིན  ཞེ་ན 						ཡིན 	ཞེ་ན 	།_ 	འདི 	ལྟར 	སངས་རྒྱས 	bstod tshogs ka_.txt	     ཡིན  ཞེ་ན  །_  འདི  ལྟར  སངས་རྒྱས 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	ཅིའི 	ཕྱིར 	དེ་དག 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  ཅིའི  ཕྱིར  དེ་དག 
 ཡིན  ཞེ་ན 						ཡིན 	ཞེ་ན 	།_ 	འདི 	ལྟར 	དེ་དག་ནི 	bstod tshogs ka_.txt	     ཡིན  ཞེ་ན  །_  འདི  ལྟར  དེ་དག་ནི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ 	དག་ལ 	རང་གི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ  དག་ལ  རང་གི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ་ནི 	དཔེ 	-ས 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ་ནི  དཔེ  -ས 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	ཇི 	སྐད་དུ 	།_ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  ཇི  སྐད་དུ  །_ 
 ཡིན ་ན 						ཡིན	་ན 	།_། 	མཚོན་པ 	-ས 	བྱ་བ 	bstod tshogs ka_.txt	     ཡིན ་ན  །_།  མཚོན་པ  -ས  བྱ་བ 
 ཡིན ་དེ 						ཡིན	་དེ 	དཔེ་ཡིན 	།_། 	ཞེས 	བཤད་པ 	bstod tshogs ka_.txt	     ཡིན ་དེ  དཔེ་ཡིན  །_།  ཞེས  བཤད་པ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	བཅོམ 	ལྡན 	འདས་ཀྱི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  བཅོམ  ལྡན  འདས་ཀྱི 
མེད་པ  ཡིན ་ཡང་གང་གིས་ན 	གཞན་ཡང 	རུང་སྟེ 	།_ 	ཚད 	མེད་པ 	ཡིན	་ཡང་གང་གིས་ན 	བཅོམ་ལྡན 	འདས་ཀྱི 	དཔེ 	-ར 	bstod tshogs ka_.txt	གཞན་ཡང  རུང་སྟེ  །_  ཚད  མེད་པ  ཡིན ་ཡང་གང་གིས་ན  བཅོམ་ལྡན  འདས་ཀྱི  དཔེ  -ར 
 ཡིན ་གྱི 						ཡིན	་གྱི 	།_། 	ཚད 	མེད་པ 	ཙམ་ཞིག་ཏུ 	bstod tshogs ka_.txt	     ཡིན ་གྱི  །_།  ཚད  མེད་པ  ཙམ་ཞིག་ཏུ 
 ཡིན ་ན 						ཡིན	་ན 	།_ 	དེས་ན 	ཇི་ལྟར 	དྲི་མ 	bstod tshogs ka_.txt	     ཡིན ་ན  །_  དེས་ན  ཇི་ལྟར  དྲི་མ 
 ཡིན  །_ 						ཡིན 	།_ 	སྙིང 	རྗེ་ནི 	སེམས་ཅན 	རྣམས 	bstod tshogs ka_.txt	     ཡིན  །_  སྙིང  རྗེ་ནི  སེམས་ཅན  རྣམས 
བདག་ཉིད  ཡིན ་པ 	རྣམ་པ 	-ར 	རྟོག་པ 	-འི 	བདག་ཉིད 	ཡིན	་པ 	-ས་དེ་དང 	ལྡན་ན 	སྐབས་མེད་དོ 	།_། 	bstod tshogs ka_.txt	རྣམ་པ  -ར  རྟོག་པ  -འི  བདག་ཉིད  ཡིན ་པ  -ས་དེ་དང  ལྡན་ན  སྐབས་མེད་དོ  །_། 
ཞུགས་པ  ཡིན ་པ 	ཕྱི་རོལ་གྱི 	ངོ་བོ 	-ར 	ཞེན་ནས 	ཞུགས་པ 	ཡིན	་པ 	-འི 	ཕྱིར 	རང་བཞིན 	ཁོ་ན 	bstod tshogs ka_.txt	ཕྱི་རོལ་གྱི  ངོ་བོ  -ར  ཞེན་ནས  ཞུགས་པ  ཡིན ་པ  -འི  ཕྱིར  རང་བཞིན  ཁོ་ན 
 ཡིན ་ནོ 						ཡིན	་ནོ 	ཞེ་ན 	།_ 	དེའི 	ཕྱིར་འདིར 	bstod tshogs ka_.txt	     ཡིན ་ནོ  ཞེ་ན  །_  དེའི  ཕྱིར་འདིར 
 ཡིན ་ནམ 						ཡིན	་ནམ 	ཞེ་ན 	།_ 	མ་ཡིན་ཏེ 	།_ 	bstod tshogs ka_.txt	     ཡིན ་ནམ  ཞེ་ན  །_  མ་ཡིན་ཏེ  །_ 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	གང་ལ་དེ 	ཡོད་པ་དེ་ལ 	དེ་སྐད་ཅེས་བྱའོ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  གང་ལ་དེ  ཡོད་པ་དེ་ལ  དེ་སྐད་ཅེས་བྱའོ 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	གང 	དག་ལ 	རྣམ་པ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  གང  དག་ལ  རྣམ་པ 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	བྱང 	ཆུབ 	སེམས་དཔའ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  བྱང  ཆུབ  སེམས་དཔའ 
 ཡིན ་པ་དེ་ནི 						ཡིན	་པ་དེ་ནི 	རྣམ་པ 	-ར 	རྟོག་པ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་པ་དེ་ནི  རྣམ་པ  -ར  རྟོག་པ  -འི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ 	བས་ན 	རྒྱུ་དང 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ  བས་ན  རྒྱུ་དང 
-འི་རྣམ་གྲངས  ཡིན ་པ 	ཅེས་བྱ་བ 	-འི 	སྒྲ 	རྒྱུ 	-འི་རྣམ་གྲངས 	ཡིན	་པ 	-འི 	ཕྱིར 	ཐུགས་རྗེ 	-འི 	bstod tshogs ka_.txt	ཅེས་བྱ་བ  -འི  སྒྲ  རྒྱུ  -འི་རྣམ་གྲངས  ཡིན ་པ  -འི  ཕྱིར  ཐུགས་རྗེ  -འི 
 ཡིན ་པས 						ཡིན	་པས 	།_ 	རྗེའི 	བདག་ཉིད་ཅེས་ཀྱང 	བྱ་བ་ལ 	bstod tshogs ka_.txt	     ཡིན ་པས  །_  རྗེའི  བདག་ཉིད་ཅེས་ཀྱང  བྱ་བ་ལ 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	མི 	བརྗོད་དུ 	མི 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  མི  བརྗོད་དུ  མི 
 ཡིན  །_ 						ཡིན 	།_ 	ཇི 	ལྟར་ན 	མཐའ་ཡས་པ 	-འི 	bstod tshogs ka_.txt	     ཡིན  །_  ཇི  ལྟར་ན  མཐའ་ཡས་པ  -འི 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	འདི 	ལྟར 	སྐྱོབ་པ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  འདི  ལྟར  སྐྱོབ་པ 
འདས་པ  ཡིན ་པ 	མི 	གནས་པ 	-འི 	མྱ་ངན་ལས 	འདས་པ 	ཡིན	་པ 	-འི 	ཕྱིར 	འཁོར་བ 	ཇི་སྲིད 	bstod tshogs ka_.txt	མི  གནས་པ  -འི  མྱ་ངན་ལས  འདས་པ  ཡིན ་པ  -འི  ཕྱིར  འཁོར་བ  ཇི་སྲིད 
ལྟ  ཡིན ་པ 	-འི 	དོན་ཏོ 	།_། 	དེ 	ལྟ 	ཡིན	་པ 	-ས 	དེ་དག་ནི 	འཇིག་རྟེན་གྱི 	ཁམས 	bstod tshogs ka_.txt	-འི  དོན་ཏོ  །_།  དེ  ལྟ  ཡིན ་པ  -ས  དེ་དག་ནི  འཇིག་རྟེན་གྱི  ཁམས 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེ 	ཉིད་བདེ 	གནས་ཡིན་ཏེ 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེ  ཉིད་བདེ  གནས་ཡིན་ཏེ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	ཐེག་པ 	ཆེན་པོ 	-འི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  ཐེག་པ  ཆེན་པོ  -འི 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	རྟོག་པ་དང 	ལྡན་པ 	རྣམས་ནི 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  རྟོག་པ་དང  ལྡན་པ  རྣམས་ནི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	བཅོམ 	ལྡན 	འདས 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  བཅོམ  ལྡན  འདས 
 ཡིན  ཞེ་ན 						ཡིན 	ཞེ་ན 	།_ 	སྦྱིན 	མཆོག་ཉིད 	གནས་མཆོག 	bstod tshogs ka_.txt	     ཡིན  ཞེ་ན  །_  སྦྱིན  མཆོག་ཉིད  གནས་མཆོག 
ངོ་བོ  ཡིན ་པ 	འཇིགས་པ་དང 	_།_ 	ཆོས་སྦྱིན་པ 	-འི 	ངོ་བོ 	ཡིན	་པ 	-འི 	ཕྱིར 	ཕ་རོལ་ཏུ 	ཕྱིན་པ 	bstod tshogs ka_.txt	འཇིགས་པ་དང  _།_  ཆོས་སྦྱིན་པ  -འི  ངོ་བོ  ཡིན ་པ  -འི  ཕྱིར  ཕ་རོལ་ཏུ  ཕྱིན་པ 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	སྦྱིན་པ 	མཆོག་ཉིད་ཀྱིས 	གནས་ཀྱི 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  སྦྱིན་པ  མཆོག་ཉིད་ཀྱིས  གནས་ཀྱི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	དེས 	གནས་མཆོག 	ཉིད 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  དེས  གནས་མཆོག  ཉིད 
 ཡིན ་པ 						ཡིན	་པ 	དག་ནི 	དམ་པ 	སྩོལ 	མཆོག 	bstod tshogs ka_.txt	     ཡིན ་པ  དག་ནི  དམ་པ  སྩོལ  མཆོག 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	སངས 	རྒྱས 	ཐམས་ཅད 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  སངས  རྒྱས  ཐམས་ཅད 
 ཡིན ་པའོ 						ཡིན	་པའོ 	།_། 	གང 	དག་ལ 	དེ་དག 	bstod tshogs ka_.txt	     ཡིན ་པའོ  །_།  གང  དག་ལ  དེ་དག 
 ཡིན  ནོ 						ཡིན 	ནོ 	།_། 	ལ 	ལ་ལ 	-ས་ནི 	bstod tshogs ka_.txt	     ཡིན  ནོ  །_།  ལ  ལ་ལ  -ས་ནི 
 ཡིན ་ནོ 						ཡིན	་ནོ 	།_། 	མགོན་པོ་ནི 	ས་གསུམ་གྱི་རྗེའོ 	།_། 	bstod tshogs ka_.txt	     ཡིན ་ནོ  །_།  མགོན་པོ་ནི  ས་གསུམ་གྱི་རྗེའོ  །_། 
 ཡིན ་ཏེ 						ཡིན	་ཏེ 	།_ 	རྒྱུད 	འདི་ཉིད་ལས 	བྱར་རུང་བ 	bstod tshogs ka_.txt	     ཡིན ་ཏེ  །_  རྒྱུད  འདི་ཉིད་ལས  བྱར་རུང་བ 